LINE_NO,LATITUDE,LONGITUDE,DATETIME,ELEVATION,Collar_ID,TEMP
211,38.9831054,-104.883981,40590.00,2147.13,2925,4
212,38.9883325,-104.8849279,40590.25,2124.54,2925,11
213,38.9865827,-104.8855117,40590.50,2123.01,2925,15
214,38.9841795,-104.881725,40590.75,2098.29,2925,11
215,38.9850344,-104.8804419,40591.00,2122.46,2925,9
216,38.9841137,-104.8775152,40591.25,2140.7,2925,6
217,38.9856643,-104.8799108,40591.50,2131.4,2925,16
218,38.9833959,-104.8873644,40591.75,2131.1,2925,6
220,38.984231,-104.8905759,40592.25,2130.97,2925,1
221,38.9802692,-104.8860539,40592.50,2129.39,2925,5
222,38.9831145,-104.8822439,40592.75,2120.44,2925,3
223,38.9784137,-104.8864833,40593.00,2163.06,2925,6
224,38.9786758,-104.8850177,40593.25,2160.48,2925,1
225,38.9845938,-104.8822967,40593.50,2151.13,2925,18
226,38.9864869,-104.882749,40593.75,2096.42,2925,7
227,38.9889992,-104.8874189,40594.00,2141.16,2925,5
228,38.9893452,-104.8855084,40594.25,2122.29,2925,3
229,38.9853958,-104.881259,40594.50,2112.61,2925,9
230,38.9911402,-104.8818563,40594.75,2112.86,2925,3
231,38.9895971,-104.8807804,40595.00,2109.99,2925,-2
232,38.9886454,-104.8822913,40595.25,2111.81,2925,0
234,38.9855783,-104.8807914,40595.75,2109.82,2925,4
235,38.9832569,-104.8840484,40596.00,2137.46,2925,-2
237,38.9787456,-104.8742592,40596.50,2138.17,2925,12
238,38.9823743,-104.8797282,40596.75,2137.77,2925,6
239,38.9853371,-104.8798643,40597.00,2136.55,2925,5
240,38.9850011,-104.8802101,40597.25,2136.57,2925,3
241,38.9865802,-104.8799407,40597.50,2136.07,2925,13
242,38.9871928,-104.8696295,40597.75,2134.68,2925,6
244,38.9864175,-104.8688169,40598.25,2115.48,2925,2
246,38.9844728,-104.8795118,40598.75,2121.63,2925,2
247,38.982453,-104.8799086,40599.00,2114.25,2925,-3
248,38.9813811,-104.8781316,40599.25,2102.38,2925,-5
250,38.9891663,-104.884129,40599.75,2103.93,2925,-2
251,38.9891687,-104.8849101,40600.00,2102,2925,-3
254,38.9840453,-104.8888732,40600.75,2102.41,2925,7
255,38.9866133,-104.8901663,40601.00,2101.33,2925,8
256,38.9850525,-104.8899878,40601.25,2166.07,2925,5
257,38.9825568,-104.8871429,40601.50,2163.6,2925,10
258,38.9893495,-104.8884794,40601.75,2153.5,2925,4
259,38.9894813,-104.8906854,40602.00,2181.5,2925,-1
261,38.9811043,-104.8834259,40602.50,2079.96,2925,12
263,38.9837903,-104.8817992,40603.00,2137.39,2925,2
264,38.9836925,-104.8814737,40603.25,2134.92,2925,4
265,38.9809342,-104.8844111,40603.50,2127.15,2925,19
266,38.9779414,-104.874693,40603.75,2129.32,2925,12
267,38.9838523,-104.8815115,40604.00,2138.43,2925,4
268,38.9842542,-104.8813122,40604.25,2157.99,2925,1
269,38.9859263,-104.8794685,40604.50,2135.19,2925,19
270,38.990499,-104.8844985,40604.75,2138.84,2925,11
271,38.988636,-104.8851983,40605.00,2138.54,2925,7
273,38.9860839,-104.8890254,40605.50,2151.71,2925,19
274,38.9864818,-104.8880255,40605.75,2151.17,2925,10
275,38.9880384,-104.8866533,40606.00,2150.58,2925,6
276,38.9913316,-104.8895054,40606.25,2151.76,2925,3
278,38.9935149,-104.8758427,40606.75,2084.3,2925,3
280,38.9937827,-104.8789249,40607.25,2082.53,2925,-4
281,38.9861609,-104.8902158,40607.50,2130.02,2925,10
282,38.9885649,-104.8904069,40607.75,2130.8,2925,4
283,38.9884428,-104.8847436,40608.00,2131.66,2925,5
285,38.9863273,-104.8877149,40608.50,2137.4,2925,16
287,38.9891726,-104.8850909,40609.00,2131.67,2925,4
288,38.99019,-104.8857674,40609.25,2144.67,2925,1
290,38.9840308,-104.8769565,40609.75,2147.31,2925,-1
292,38.9851545,-104.8687812,40610.25,2147.31,2925,0
294,38.9828344,-104.8713689,40610.75,2160.48,2925,0
295,38.9817901,-104.8726934,40611.00,2167.07,2925,-1
296,38.9845928,-104.8746182,40611.25,2167.16,2925,1
297,38.9905814,-104.8786634,40611.50,2079.85,2925,16
298,38.9934785,-104.8764552,40611.75,2084.52,2925,8
299,38.9943105,-104.8760709,40612.00,2080.05,2925,2
301,38.9855558,-104.8753435,40612.50,2079.53,2925,19
302,38.9866579,-104.8720903,40612.75,2080.91,2925,12
303,38.9866705,-104.8719469,40613.00,2087.12,2925,8
305,38.9871824,-104.8803509,40613.50,2093.19,2925,20
307,38.9840255,-104.8776353,40614.00,2092.4,2925,5
309,38.9778115,-104.8707088,40614.50,2091.51,2925,16
310,38.9823276,-104.8715642,40614.75,2098.08,2925,10
312,38.9850575,-104.8742895,40615.25,2111.35,2925,3
314,38.9903606,-104.8870738,40615.75,2122.85,2925,7
315,38.987563,-104.8936412,40616.00,2236.48,2925,1
316,38.9858459,-104.8877504,40616.25,2184.37,2925,4
317,38.9870152,-104.879975,40616.50,2190.83,2925,18
318,38.9851797,-104.8824051,40616.75,2188.36,2925,11
319,38.9880019,-104.8824411,40617.00,2106.32,2925,10
320,38.9850261,-104.8761284,40617.25,2128.37,2925,3
321,38.9869824,-104.8722926,40617.50,2125.4,2925,14
323,38.9844719,-104.8733797,40618.00,2124.94,2925,6
324,38.9872181,-104.8769524,40618.25,2124.85,2925,12
325,38.9880778,-104.877388,40618.50,2124.51,2925,22
326,38.984971,-104.8798057,40618.75,2123.21,2925,17
327,38.9839118,-104.8811265,40619.00,2135.03,2925,12
329,38.9835574,-104.8869853,40619.50,2134.38,2925,23
330,38.9849552,-104.879953,40619.75,2130.15,2925,11
331,38.988128,-104.8716499,40620.00,2092.2,2925,5
332,38.9829124,-104.8635327,40620.25,2084.6,2925,0
334,38.9775072,-104.8669012,40620.75,2079.22,2925,8
335,38.9771533,-104.8640473,40621.00,2088.05,2925,4
336,38.9807796,-104.8764116,40621.25,2103.86,2925,-1
337,38.9841889,-104.8778151,40621.50,2101.77,2925,19
339,38.9842834,-104.8837497,40622.00,2139.67,2925,11
340,38.981553,-104.8872801,40622.25,2136.02,2925,9
343,38.9838414,-104.887327,40624.25,2136.75,2925,5
344,38.9892551,-104.8828617,40624.50,2107.64,2925,14
345,38.9887767,-104.8806449,40624.75,2108.11,2925,7
346,38.9882236,-104.8806468,40625.00,2107.7,2925,3
347,38.9861479,-104.8803844,40625.25,2106.37,2925,1
348,38.9873527,-104.8775385,40625.50,2106.39,2925,16
349,38.9869819,-104.8719636,40625.75,2073.01,2925,11
350,38.9862835,-104.8704652,40626.00,2083.01,2925,3
352,38.9873965,-104.8642047,40626.50,2074.94,2925,10
353,38.984432,-104.8747129,40626.75,2112.92,2925,7
354,38.985197,-104.8749962,40627.00,2112.87,2925,6
355,38.9855012,-104.8774656,40627.25,2110.86,2925,4
356,38.9857139,-104.8755428,40627.50,2110.29,2925,16
357,38.9851672,-104.8796472,40627.75,2112.19,2925,12
358,38.9885957,-104.8847011,40628.00,2128.17,2925,7
361,38.9823983,-104.8797162,40628.75,2124.94,2925,7
362,38.9848277,-104.8766384,40629.00,2126.98,2925,5
363,38.9919495,-104.8770145,40629.25,2078.12,2925,3
364,38.989073,-104.8821637,40629.50,2078.57,2925,6
365,38.9879725,-104.8869087,40629.75,2097.64,2925,8
367,38.984803,-104.8840725,40630.25,2116.07,2925,1
369,38.9944597,-104.8736948,40630.75,2113.62,2925,7
370,38.9944182,-104.8780773,40631.00,2114.55,2925,4
371,38.9975278,-104.8814987,40631.25,2110.76,2925,1
373,38.9869534,-104.8704871,40631.75,2103.94,2925,6
374,38.9861818,-104.8709203,40632.00,2103.32,2925,2
375,38.9877001,-104.873512,40632.25,2088.91,2925,0
